                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.71112,                0.44709,                0.86163,                0.90019,                0.86161,                0.93609,                 0.7519,                0.68282,                0.46677,                0.88299,              0.0052876,              0.0052876,              0.0052876
                    122,                0.71159,                0.44732,                0.86245,                0.89453,                0.86479,                 0.9364,                0.75176,                0.68047,                0.46766,                0.88142,               0.005248,               0.005248,               0.005248
                    123,                0.71296,                0.44767,                0.86148,                0.89812,                0.85875,                0.93533,                0.75057,                0.68162,                0.46561,                 0.8821,              0.0052084,              0.0052084,              0.0052084
                    124,                0.71004,                0.44619,                0.86108,                0.89789,                0.86083,                0.93567,                0.75149,                 0.6802,                0.46252,                0.88022,              0.0051688,              0.0051688,              0.0051688
                    125,                0.70925,                0.44426,                 0.8609,                 0.8993,                0.86142,                0.93674,                0.75156,                0.68006,                0.46226,                0.87913,              0.0051292,              0.0051292,              0.0051292
                    126,                0.71179,                0.44663,                0.86094,                0.89509,                0.86501,                 0.9371,                0.75101,                0.68312,                0.46319,                0.88164,              0.0050896,              0.0050896,              0.0050896
                    127,                0.71165,                0.44619,                0.86083,                0.89801,                0.86381,                0.93692,                0.75368,                0.67917,                0.45796,                0.87923,                0.00505,                0.00505,                0.00505
                    128,                0.70495,                0.44051,                0.86066,                0.90205,                0.85966,                0.93738,                0.75439,                 0.6797,                0.45568,                0.88037,              0.0050104,              0.0050104,              0.0050104
                    129,                0.70653,                0.44499,                0.86102,                0.89743,                0.86493,                0.93746,                0.75435,                0.68022,                0.45608,                0.88143,              0.0049708,              0.0049708,              0.0049708
                    130,                0.70685,                0.44214,                0.86056,                0.89321,                0.86818,                0.93728,                0.75398,                0.67972,                0.45593,                0.88123,              0.0049312,              0.0049312,              0.0049312
                    131,                0.70641,                0.44496,                0.86166,                0.89435,                0.86569,                0.93727,                0.75366,                 0.6788,                0.45452,                0.87987,              0.0048916,              0.0048916,              0.0048916
                    132,                0.70328,                0.44083,                0.85897,                 0.8941,                 0.8654,                0.93665,                0.75286,                0.67838,                0.45822,                0.87898,               0.004852,               0.004852,               0.004852
                    133,                0.70503,                0.44111,                0.86117,                 0.8896,                0.87227,                0.93713,                0.75358,                0.67905,                0.46038,                0.87954,              0.0048124,              0.0048124,              0.0048124
                    134,                0.69988,                0.43879,                0.85809,                0.89329,                0.86894,                0.93723,                0.75402,                0.67871,                0.46329,                0.88045,              0.0047728,              0.0047728,              0.0047728
